Дата операции,Дата платежа,Номер карты,Статус,Сумма операции,Валюта операции,Сумма платежа,Валюта платежа,Кэшбэк,Категория,MCC,Описание,Бонусы (включая кэшбэк),Округление на инвесткопилку,Сумма операции с округлением
01.10.2019 19:08:41,03.10.2019,*7197,OK,-34.43,RUB,-34.43,RUB,,Ж/д билеты,4111.0,Стрелка,0,0,34.43
01.10.2019 11:27:22,03.10.2019,*7197,OK,-230.0,RUB,-230.0,RUB,,Ж/д билеты,4111.0,Московский метрополитен,4,0,230.0
30.09.2019 21:46:46,02.10.2019,*4556,OK,16.0,RUB,16.0,RUB,,Ж/д билеты,4111.0,Московский метрополитен,0,0,16.0
30.09.2019 21:46:46,01.10.2019,*4556,OK,-42.0,RUB,-4.72,CNY,,Ж/д билеты,4111.0,Московский метрополитен,0,0,4.72
21.09.2019 07:29:34,22.09.2019,*7197,OK,-850.0,RUB,-850.0,RUB,,Ж/д билеты,4111.0,Аэроэкспресс,17,0,850.0
21.09.2019 07:02:50,22.09.2019,*7197,OK,-55.0,RUB,-55.0,RUB,,Ж/д билеты,4111.0,Московский метрополитен,1,0,55.0
20.09.2019 21:38:39,22.09.2019,*7197,OK,-200.0,RUB,-200.0,RUB,,Ж/д билеты,4111.0,Метро Санкт-Петербург,4,0,200.0
20.09.2019 07:32:54,21.09.2019,*7197,OK,-1386.6,RUB,-1386.6,RUB,,Ж/д билеты,4112.0,РЖД,27,0,1386.6
17.09.2019 08:24:12,19.09.2019,*4556,OK,-300.0,RUB,-300.0,RUB,3.0,Ж/д билеты,4111.0,Метро Санкт-Петербург,3,0,300.0
12.09.2019 15:41:23,13.09.2019,*4556,OK,-1386.7,RUB,-1386.7,RUB,13.0,Ж/д билеты,4112.0,РЖД,13,0,1386.7
26.08.2019 17:02:34,28.08.2019,*4556,OK,-300.0,RUB,-300.0,RUB,3.0,Ж/д билеты,4111.0,Метро Санкт-Петербург,3,0,300.0
26.08.2019 14:23:56,28.08.2019,*4556,OK,-45.0,RUB,-45.0,RUB,,Ж/д билеты,4111.0,Метро Санкт-Петербург,0,0,45.0
20.08.2019 16:04:55,22.08.2019,*4556,OK,-200.0,RUB,-200.0,RUB,2.0,Ж/д билеты,4111.0,Метро Санкт-Петербург,2,0,200.0
14.08.2019 13:49:10,16.08.2019,*4556,OK,-300.0,RUB,-300.0,RUB,3.0,Ж/д билеты,4111.0,Метро Санкт-Петербург,3,0,300.0
05.08.2019 20:41:08,07.08.2019,*4556,OK,-45.0,RUB,-45.0,RUB,,Ж/д билеты,4111.0,Метро Санкт-Петербург,0,0,45.0
30.07.2019 23:19:56,31.07.2019,*7197,OK,-1355.3,RUB,-1355.3,RUB,,Ж/д билеты,4112.0,РЖД,27,0,1355.3
23.07.2019 12:18:38,25.07.2019,*7197,OK,-200.0,RUB,-200.0,RUB,,Ж/д билеты,4111.0,Метро Санкт-Петербург,4,0,200.0
15.07.2019 13:43:11,17.07.2019,*7197,OK,-200.0,RUB,-200.0,RUB,,Ж/д билеты,4111.0,Метро Санкт-Петербург,4,0,200.0
15.07.2019 11:41:14,17.07.2019,*7197,OK,-45.0,RUB,-45.0,RUB,,Ж/д билеты,4111.0,Метро Санкт-Петербург,0,0,45.0
14.07.2019 17:56:14,16.07.2019,*7197,OK,-45.0,RUB,-45.0,RUB,,Ж/д билеты,4111.0,Метро Санкт-Петербург,0,0,45.0
11.07.2019 20:56:56,13.07.2019,*7197,OK,-200.0,RUB,-200.0,RUB,,Ж/д билеты,4111.0,Метро Санкт-Петербург,4,0,200.0
11.07.2019 13:13:46,13.07.2019,*7197,OK,-45.0,RUB,-45.0,RUB,,Ж/д билеты,4111.0,Метро Санкт-Петербург,0,0,45.0
10.07.2019 20:40:18,12.07.2019,*7197,OK,-45.0,RUB,-45.0,RUB,,Ж/д билеты,4111.0,Метро Санкт-Петербург,0,0,45.0
10.07.2019 18:28:43,11.07.2019,*7197,OK,-1318.6,RUB,-1318.6,RUB,,Ж/д билеты,4112.0,РЖД,26,0,1318.6
10.07.2019 15:27:11,11.07.2019,*4556,OK,424.2,RUB,424.2,RUB,-4.0,Ж/д билеты,4112.0,РЖД,-4,0,424.2
10.07.2019 15:27:11,11.07.2019,*4556,OK,361.2,RUB,361.2,RUB,-3.0,Ж/д билеты,4112.0,РЖД,-3,0,361.2
10.07.2019 12:48:11,12.07.2019,*7197,OK,-45.0,RUB,-45.0,RUB,,Ж/д билеты,4111.0,Метро Санкт-Петербург,0,0,45.0
